Name,AltName,Manufacturer,ManufacturerShort,Year,Players,Type,Theme,IPDBID
"!WOW!","","Mills Novelty Company","Mills Novelty Company","1932","1","ME","","2819"
"""1 2 3""","","Mills Novelty Company","Mills Novelty Company","1940","1","EM","","1718"
"""300""","","D. Gottlieb & Company","Gottlieb","1975","4","EM","Sports - Bowling","2539"
"""7-11""","","J. H. Keeney and Company Incorporated","J. H. Keeney and Company Incorporated","1935","1","EM","","2105"
"""8 Ball""","","Williams Manufacturing Company","Williams","1952","1","EM","Billiards","765"
"""Le Paris""","","","","","1","ME","","6174"
"""Lucky Boy""","","Warren Manufacturing Company","Warren Manufacturing Company","1932","1","ME","","5858"
"""Pin-O-Skill""","","British American Novelty Company","British American Novelty Company","1933","1","ME","","6542"
"""Silver Prince""","","KOALA","KOALA","","1","ME","","5463"
"$1,000,000 Pool","","D. Gottlieb & Company, a Columbia Pictures Industries Company","Gottlieb","","6","","","5687"
"'DECA-BILL'","","","","","1","ME","","6214"
"'Regatta'","","Exhibit Supply Company","Exhibit Supply Company","1938","1","EM","Adventure - Boats - Nautical - Recreation - Sailing - Water","4671"
"007-Flipper","","VEB Luckenwalder Metallwarenfabrik","VEB Luckenwalder Metallwarenfabrik","","2","EM","Sports","5443"
"1 Million B.C.","","Midway Manufacturing Company","Midway","1968","1","EM","Dinosaurs - Historical","6364"
"10th Inning","","Williams Electronic Manufacturing Company","Williams","1964","2","EM","Sports - Baseball","3367"
"10th Inning","","United Manufacturing Company","United Manufacturing Company","1948","1","EM","Sports - Baseball","3788"
"15*Pool","","","","1976","1","EM","Billiards","5197"
"1776","","","Unknown","1948","1","EM","American History - Warfare","4909"
"1871 Redgrave Parlor Bagatelle","","M. Redgrave Bagatelle Company","M. Redgrave Bagatelle Company","1871","1","ME","","4542"
"1902 Redgrave Parlor Bagatelle-","","M. Redgrave Bagatelle Company","M. Redgrave Bagatelle Company","1902","1","ME","","4543"
"1937 Daily Races","","D. Gottlieb & Company","Gottlieb","1936","1","EM","","4293"
"1937 World Series","","Rock-ola Manufacturing Corporation","Rock-ola Manufacturing Corporation","1937","1","EM","Sports - Baseball","3515"
"1940 Rebound","","Exhibit Supply Company","Exhibit Supply Company","1939","1","EM","Sports - Snow Skiing","1928"
"1941 Velvet","","J. H. Keeney and Company Incorporated","J. H. Keeney and Company Incorporated","1941","1","EM","","2726"
"1942 Bowling Alley","","Glickman Industries","Glickman Industries","1942","1","EM","Sports - Bowling","6003"
"1957 Baseball","","Williams Manufacturing Company","Williams","1957","1","EM","Sports - Baseball","2904"
"1957 Baseball Deluxe","","Williams Manufacturing Company","Williams","1957","1","EM","Sports - Baseball","3047"
"1962 World Series","","Williams Electronic Manufacturing Company","Williams","1962","1","EM","Sports - Baseball","2814"
"1963 A. L. Twins","","","","","1","EM","Sports - Baseball","4386"
"1963 Major League","","Williams Electronic Manufacturing Company","Williams","1963","1","EM","Sports - Baseball","1526"
"1X2","","Iberomatic S.A.","Iberomatic S.A.","","1","EM","Gambling","4875"
"1ª División","","Procedimientos Electromagnéticos de Tanteo y Color","Procedimientos Electromagnéticos de Tanteo y Color","","1","EM","Sports - Futbol - Soccer","5934"
