Name,Orig Name,IPDB ID,Manufacturer,Date Manufactured,Players,Type,Theme
!WOW!,!WOW!,2819,Mills Novelty Company,"March, 1932",1,ME,
"""1 2 3""","""1 2 3""",1718,Mills Novelty Company,1940,1,EM,
"""300""","""300""",2539,D. Gottlieb & Company,"August, 1975",4,EM,Sports - Bowling
"""7-11""","""7-11""",2105,J. H. Keeney and Company Incorporated,"August, 1935",1,EM,
"""8 Ball""","""8 Ball""",765,Williams Manufacturing Company,"February, 1952",1,EM,Billiards
"""Le Paris""","""Le Paris""",6174,Unknown Manufacturer,,1,ME,
"""Lucky Boy""","""Lucky Boy""",5858,Warren Manufacturing Company,"March, 1932",1,ME,
"""Pin-O-Skill""","""Pin-O-Skill""",6542,British American Novelty Company,1933,1,ME,
"""Silver Prince""","""Silver Prince""",5463,KOALA,,1,ME,
"$1,000,000 Pool","$1,000,000 Pool",5687,"D. Gottlieb & Company, a Columbia Pictures Industries Company",,6,,
'DECA-BILL','DECA-BILL',6214,Unknown Manufacturer,,1,ME,
'Regatta','Regatta',4671,Exhibit Supply Company,"October, 1938",1,EM,Adventure - Boats - Nautical - Recreation - Sailing - Water
007-Flipper,007-Flipper,5443,VEB Luckenwalder Metallwarenfabrik,,2,EM,Sports
1 Million B.C.,1 Million B.C.,6364,Midway Manufacturing Company,"April, 1968",1,EM,Dinosaurs - Historical
10th Inning,10th Inning,3367,Williams Electronic Manufacturing Company,"February, 1964",2,EM,Sports - Baseball
10th Inning,10th Inning,3788,United Manufacturing Company,1948,1,EM,Sports - Baseball
15*Pool,15*Pool,5197,Unknown Manufacturer,1976,1,EM,Billiards
1776,1776,4909,,1948,1,EM,American History - Warfare
1871 Redgrave Parlor Bagatelle,1871 Redgrave Parlor Bagatelle,4542,M. Redgrave Bagatelle Company,1871,1,ME,
1902 Redgrave Parlor Bagatelle-,1902 Redgrave Parlor Bagatelle-,4543,M. Redgrave Bagatelle Company,1902,1,ME,
1937 Daily Races,1937 Daily Races,4293,D. Gottlieb & Company,"November, 1936",1,EM,
1937 World Series,1937 World Series,3515,Rock-ola Manufacturing Corporation,1937,1,EM,Sports - Baseball
1940 Rebound,1940 Rebound,1928,Exhibit Supply Company,"November, 1939",1,EM,Sports - Snow Skiing
1941 Velvet,1941 Velvet,2726,J. H. Keeney and Company Incorporated,"January, 1941",1,EM,
1942 Bowling Alley,1942 Bowling Alley,6003,Glickman Industries,"March, 1942",1,EM,Sports - Bowling
1957 Baseball,1957 Baseball,2904,Williams Manufacturing Company,"January, 1957",1,EM,Sports - Baseball
1957 Baseball Deluxe,1957 Baseball Deluxe,3047,Williams Manufacturing Company,"January, 1957",1,EM,Sports - Baseball
