Name (click to view)ˇ,Manufacturer,Date Manufactured,Players,Type,Theme,IPDB Link
!WOW!,Mills Novelty Company,"March, 1932",1,ME,,https://www.ipdb.org/machine.cgi?gid=2819&puid=38895
"""1 2 3""",Mills Novelty Company,1940,1,EM,,https://www.ipdb.org/machine.cgi?gid=1718&puid=38895
"""300""",D. Gottlieb & Company,"August, 1975",4,EM,Sports - Bowling,https://www.ipdb.org/machine.cgi?gid=2539&puid=38895
"""7-11""",J. H. Keeney and Company Incorporated,"August, 1935",1,EM,,https://www.ipdb.org/machine.cgi?gid=2105&puid=38895
"""8 Ball""",Williams Manufacturing Company,"February, 1952",1,EM,Billiards,https://www.ipdb.org/machine.cgi?gid=765&puid=38895
"""Le Paris""",Unknown Manufacturer,,1,ME,,https://www.ipdb.org/machine.cgi?gid=6174&puid=38895
"""Lucky Boy""",Warren Manufacturing Company,"March, 1932",1,ME,,https://www.ipdb.org/machine.cgi?gid=5858&puid=38895
"""Pin-O-Skill""",British American Novelty Company,1933,1,ME,,https://www.ipdb.org/machine.cgi?gid=6542&puid=38895
"""Silver Prince""",KOALA,,1,ME,,https://www.ipdb.org/machine.cgi?gid=5463&puid=38895
"$1,000,000 Pool","D. Gottlieb & Company, a Columbia Pictures Industries Company",,6,,,https://www.ipdb.org/machine.cgi?gid=5687&puid=38895
'DECA-BILL',Unknown Manufacturer,,1,ME,,https://www.ipdb.org/machine.cgi?gid=6214&puid=38895
'Regatta',Exhibit Supply Company,"October, 1938",1,EM,Adventure - Boats - Nautical - Recreation - Sailing - Water,https://www.ipdb.org/machine.cgi?gid=4671&puid=38895
007-Flipper,VEB Luckenwalder Metallwarenfabrik,,2,EM,Sports,https://www.ipdb.org/machine.cgi?gid=5443&puid=38895
1 Million B.C.,Midway Manufacturing Company,"April, 1968",1,EM,Dinosaurs - Historical,https://www.ipdb.org/machine.cgi?gid=6364&puid=38895
10th Inning,Williams Electronic Manufacturing Company,"February, 1964",2,EM,Sports - Baseball,https://www.ipdb.org/machine.cgi?gid=3367&puid=38895
10th Inning,United Manufacturing Company,1948,1,EM,Sports - Baseball,https://www.ipdb.org/machine.cgi?gid=3788&puid=38895
15*Pool,Unknown Manufacturer,1976,1,EM,Billiards,https://www.ipdb.org/machine.cgi?gid=5197&puid=38895
1776,,1948,1,EM,American History - Warfare,https://www.ipdb.org/machine.cgi?gid=4909&puid=38895
1871 Redgrave Parlor Bagatelle,M. Redgrave Bagatelle Company,1871,1,ME,,https://www.ipdb.org/machine.cgi?gid=4542&puid=38895
1902 Redgrave Parlor Bagatelle-,M. Redgrave Bagatelle Company,1902,1,ME,,https://www.ipdb.org/machine.cgi?gid=4543&puid=38895
1937 Daily Races,D. Gottlieb & Company,"November, 1936",1,EM,,https://www.ipdb.org/machine.cgi?gid=4293&puid=38895
1937 World Series,Rock-ola Manufacturing Corporation,1937,1,EM,Sports - Baseball,https://www.ipdb.org/machine.cgi?gid=3515&puid=38895
1940 Rebound,Exhibit Supply Company,"November, 1939",1,EM,Sports - Snow Skiing,https://www.ipdb.org/machine.cgi?gid=1928&puid=38895
1941 Velvet,J. H. Keeney and Company Incorporated,"January, 1941",1,EM,,https://www.ipdb.org/machine.cgi?gid=2726&puid=38895
1942 Bowling Alley,Glickman Industries,"March, 1942",1,EM,Sports - Bowling,https://www.ipdb.org/machine.cgi?gid=6003&puid=38895
1957 Baseball,Williams Manufacturing Company,"January, 1957",1,EM,Sports - Baseball,https://www.ipdb.org/machine.cgi?gid=2904&puid=38895
1957 Baseball Deluxe,Williams Manufacturing Company,"January, 1957",1,EM,Sports - Baseball,https://www.ipdb.org/machine.cgi?gid=3047&puid=38895
1962 World Series,Williams Electronic Manufacturing Company,"January, 1962",1,EM,Sports - Baseball,https://www.ipdb.org/machine.cgi?gid=2814&puid=38895
1963 A. L. Twins,Unknown Manufacturer,,1,EM,Sports - Baseball,https://www.ipdb.org/machine.cgi?gid=4386&puid=38895
1963 Major League,Williams Electronic Manufacturing Company,"March, 1963",1,EM,Sports - Baseball,https://www.ipdb.org/machine.cgi?gid=1526&puid=38895
1X2,Iberomatic S.A.,,1,EM,Gambling,https://www.ipdb.org/machine.cgi?gid=4875&puid=38895
1¶ Divisi¢n,Procedimientos ElectromagnÇticos de Tanteo y Color,,1,EM,Sports - Futbol - Soccer,https://www.ipdb.org/machine.cgi?gid=5934&puid=38895
1˙2˙3...,Talleres del Llobregat S.A. [Automaticos],,1,EM,TV Game Show,https://www.ipdb.org/machine.cgi?gid=5247&puid=38895
2 in 1,Bally Manufacturing Corporation,"July, 1964",2,EM,,https://www.ipdb.org/machine.cgi?gid=2698&puid=38895
2001,D. Gottlieb & Company,"January, 1971",1,EM,Fantasy,https://www.ipdb.org/machine.cgi?gid=2697&puid=38895
2002,Maquinas Recreativas Sociedad Anonima,,1,EM,,https://www.ipdb.org/machine.cgi?gid=4632&puid=38895
2005 World Car Racing Pinball,Unknown Manufacturer,,1,SS,Sports - Auto Racing,https://www.ipdb.org/machine.cgi?gid=6270&puid=38895
21,Rock-ola Manufacturing Corporation,"May, 1935",1,EM,,https://www.ipdb.org/machine.cgi?gid=2680&puid=38895
21,Williams Electronic Manufacturing Company,24-Feb-60,1,EM,Cards/Gambling,https://www.ipdb.org/machine.cgi?gid=2681&puid=38895
21,D. Gottlieb & Company,"April, 1937",1,EM,,https://www.ipdb.org/machine.cgi?gid=2683&puid=38895
21 Odds,Stoner Manufacturing Company,"January, 1936",1,EM,,https://www.ipdb.org/machine.cgi?gid=4268&puid=38895
"21,000",Rock-ola Manufacturing Corporation,7-Jul-35,1,EM,,https://www.ipdb.org/machine.cgi?gid=3343&puid=38895
24 Heures du Mans,Unknown Manufacturer,,1,EM,Sports - Auto Racing,https://www.ipdb.org/machine.cgi?gid=5271&puid=38895
24?,"Stern Pinball, Incorporated",,4,SS,LIcensed Theme - Television Show - Law,https://www.ipdb.org/machine.cgi?gid=5419&puid=38895
250 cc,Industria (Electromec†nica) de Recreativos S.A,1992,4,SS,,https://www.ipdb.org/machine.cgi?gid=4089&puid=38895
3 Across,Bally Manufacturing Corporation,1936,1,EM,,https://www.ipdb.org/machine.cgi?gid=4174&puid=38895
3 Coins,Williams Electronic Manufacturing Company,15-Feb-62,1,EM,Castles - Playing Cards,https://www.ipdb.org/machine.cgi?gid=2535&puid=38895
3 in LINE,Bally Manufacturing Corporation,"July, 1935",1,EM,,https://www.ipdb.org/machine.cgi?gid=2550&puid=38895
3 In Line,Scientific Machine Corporation,"May, 1950",1,EM,Tic-Tac-Toe,https://www.ipdb.org/machine.cgi?gid=5448&puid=38895
3 Jokers,"Williams Electronics, Incorporated","November, 1970",1,EM,Cards/Gambling,https://www.ipdb.org/machine.cgi?gid=2540&puid=38895
3/4/2005,United Manufacturing Company,"June, 1951",1,EM,,https://www.ipdb.org/machine.cgi?gid=2538&puid=38895
3-D,Williams Electronic Manufacturing Company,1-Nov-58,1,EM,Music - Dancing,https://www.ipdb.org/machine.cgi?gid=2548&puid=38895
3-In-A-Row,A.B.T. Manufacturing Company,"March, 1936",1,EM,,https://www.ipdb.org/machine.cgi?gid=4324&puid=38895
3-In-Line,Bally Manufacturing Corporation,"July, 1963",4,EM,Majorettes,https://www.ipdb.org/machine.cgi?gid=2549&puid=38895
3-Ring Circus,Bally Manufacturing Corporation,"July, 1932",1,ME,Circus,https://www.ipdb.org/machine.cgi?gid=2543&puid=38895
3-Ring Circus,Rock-ola Manufacturing Corporation,"July, 1932",1,ME,Circus,https://www.ipdb.org/machine.cgi?gid=3486&puid=38895
300,Maquinas Recreativas Sociedad Anonima,,1,EM,Sports - Bowling,https://www.ipdb.org/machine.cgi?gid=4633&puid=38895
301/Bulls Eye,Grand Products Incorporated,"May, 1986",4,SS,Sports - Darts,https://www.ipdb.org/machine.cgi?gid=403&puid=38895
4 Aces,"Williams Electronics, Incorporated",12-Mar-70,2,EM,Cards/Gambling,https://www.ipdb.org/machine.cgi?gid=928&puid=38895
4 Bagger Deluxe,Williams Manufacturing Company,"April, 1956",1,EM,Sports - Baseball,https://www.ipdb.org/machine.cgi?gid=930&puid=38895
4 Ball Top It,A.B.T. Manufacturing Company,"March, 1936",1,EM,,https://www.ipdb.org/machine.cgi?gid=4316&puid=38895
4 Queens,Bally Manufacturing Corporation,"December, 1970",1,EM,,https://www.ipdb.org/machine.cgi?gid=936&puid=38895
4 Roses,Williams Electronic Manufacturing Company,4-Dec-62,1,EM,Pageantry,https://www.ipdb.org/machine.cgi?gid=938&puid=38895
4 Square,D. Gottlieb & Company,"June, 1971",1,EM,,https://www.ipdb.org/machine.cgi?gid=940&puid=38895
4 Star,Williams Manufacturing Company,20-Jul-58,1,EM,Happiness - Dancing,https://www.ipdb.org/machine.cgi?gid=941&puid=38895
4-Belles,D. Gottlieb & Company,"October, 1954",1,EM,Nautical - Sailing,https://www.ipdb.org/machine.cgi?gid=943&puid=38895
4-IN-1 (Pigskin: 2010),"Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated","December, 1985",2,SS,Sports - Football,https://www.ipdb.org/machine.cgi?gid=6010&puid=38895
4-IN-1 (Poker),"Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated","December, 1985",2,SS,Cards - Gambling - Poker,https://www.ipdb.org/machine.cgi?gid=6009&puid=38895
4-IN-1 (Willy At The Bat),"Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated","December, 1985",2,SS,Sports - Baseball,https://www.ipdb.org/machine.cgi?gid=6008&puid=38895
4-IN-1 (Willy?s Cup),"Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated","December, 1985",2,SS,Sports - Futbol - Soccer,https://www.ipdb.org/machine.cgi?gid=6011&puid=38895
4-Score,D. Gottlieb & Company,"March, 1957",,EM,,https://www.ipdb.org/machine.cgi?gid=3771&puid=38895
400,Genco Manufacturing Company,"July, 1952",1,EM,,https://www.ipdb.org/machine.cgi?gid=934&puid=38895
41-Derby,Bally Manufacturing Corporation,"August, 1941",1,EM,Sports - Horse Racing,https://www.ipdb.org/machine.cgi?gid=3057&puid=38895
42nd and Broadway,,,1,EM,,https://www.ipdb.org/machine.cgi?gid=5991&puid=38895
42nd Street,Genco Manufacturing Company,"December, 1933",1,ME,Broadway - Movies,https://www.ipdb.org/machine.cgi?gid=923&puid=38895
45-Derby,Roy McGinnis Company,"June, 1945",1,EM,Sports - Horse Racing,https://www.ipdb.org/machine.cgi?gid=5705&puid=38895
4x4,Maquinas Recreativas Sociedad Anonima,,1,EM,Music - People - Op Art,https://www.ipdb.org/machine.cgi?gid=5486&puid=38895
4X4,"Atari, Incorporated",1983,4,SS,,https://www.ipdb.org/machine.cgi?gid=3111&puid=38895
5 Star,"Universal Industries, Inc. (Chicago) A subsidiary of United Manufacturing Co.","May, 1951",1,EM,,https://www.ipdb.org/machine.cgi?gid=864&puid=38895
50/50,"G. M. Laboratories, Incorporated","November, 1935",1,EM,,https://www.ipdb.org/machine.cgi?gid=841&puid=38895
50/50,Bally Manufacturing Corporation,"July, 1965",2,EM,Fun Park,https://www.ipdb.org/machine.cgi?gid=842&puid=38895
5th Inning,United Manufacturing Company,"June, 1955",4,EM,Sports - Baseball,https://www.ipdb.org/machine.cgi?gid=6132&puid=38895
66,Globe Manufacturing Company,"December, 1934",1,ME,,https://www.ipdb.org/machine.cgi?gid=3925&puid=38895
11-Jul,"Baker Machine & Plating Company, Incorporated","April, 1932",1,ME,,https://www.ipdb.org/machine.cgi?gid=4980&puid=38895
7-Up,Talleres del Llobregat S.A. [Automaticos],1970,1,EM,Playing Dice,https://www.ipdb.org/machine.cgi?gid=4433&puid=38895
8 Ball,Williams Electronic Manufacturing Company,17-Jan-66,2,EM,Billiards,https://www.ipdb.org/machine.cgi?gid=764&puid=38895
A Circus,Colonial Specialties Company,"December, 1932",1,ME,,https://www.ipdb.org/machine.cgi?gid=5385&puid=38895
A Circus,Ace Novelty Company,"October, 1932",1,ME,,https://www.ipdb.org/machine.cgi?gid=5389&puid=38895
A-B-C,United Manufacturing Company,"March, 1951",1,EM,,https://www.ipdb.org/machine.cgi?gid=2875&puid=38895
A-B-C Bowler,D. Gottlieb & Company,"August, 1941",1,EM,Sports - Bowling,https://www.ipdb.org/machine.cgi?gid=1&puid=38895
A-Go-Go,Williams Electronic Manufacturing Company,25-May-66,4,EM,Happiness - Dancing,https://www.ipdb.org/machine.cgi?gid=27&puid=38895
A-MAZE-ING Baseball,Alvin G. and Company,1994,1,SS,Sports - Baseball,https://www.ipdb.org/machine.cgi?gid=4957&puid=38895
A.B.C.,A.B.T. Manufacturing Company,"February, 1936",1,EM,,https://www.ipdb.org/machine.cgi?gid=4315&puid=38895
A.G. Football,Alvin G. and Company,"October, 1992",2,SS,Sports - Football - Futbol - Soccer,https://www.ipdb.org/machine.cgi?gid=2886&puid=38895
A.G. Soccer-Ball,Alvin G. and Company,"October, 1991",2,SS,Sports - Soccer,https://www.ipdb.org/machine.cgi?gid=120&puid=38895
Aaron Spelling,"Data East Pinball, Incorporated","February, 1992",4,SS,,https://www.ipdb.org/machine.cgi?gid=4339&puid=38895
ABC Roll,Champion Games,1946,1,EM,,https://www.ipdb.org/machine.cgi?gid=4519&puid=38895
Abra Ca Dabra,D. Gottlieb & Company,"November, 1975",1,EM,Wizard/Magic,https://www.ipdb.org/machine.cgi?gid=2&puid=38895
Abra Ca Dabra,D. Gottlieb & Company,"October, 1971",1,EM,,https://www.ipdb.org/machine.cgi?gid=2876&puid=38895
AC/DC (Let There Be Rock Limited Edition),"Stern Pinball, Incorporated","March, 2012",4,SS,Licensed Theme - Music,https://www.ipdb.org/machine.cgi?gid=5776&puid=38895
AC/DC (LUCI Premium),"Stern Pinball, Incorporated","December, 2013",4,SS,Licensed Theme - Music,https://www.ipdb.org/machine.cgi?gid=6060&puid=38895
AC/DC (LUCI Vault Edition),"Stern Pinball, Incorporated","February, 2018",4,SS,Licensed Theme - Music,https://www.ipdb.org/machine.cgi?gid=6502&puid=38895
AC/DC (Premium Vault Edition),"Stern Pinball, Incorporated","July, 2017",4,SS,Licensed Theme - Music,https://www.ipdb.org/machine.cgi?gid=6440&puid=38895
AC/DC (Premium),"Stern Pinball, Incorporated","March, 2012",4,SS,Licensed Theme - Music,https://www.ipdb.org/machine.cgi?gid=5775&puid=38895
AC/DC (Pro LED),"Stern Pinball, Incorporated",2014,4,SS,Licensed Theme - Music,https://www.ipdb.org/machine.cgi?gid=6441&puid=38895
AC/DC (Pro Vault Edition),"Stern Pinball, Incorporated","May, 2017",4,SS,Licensed Theme - Music,https://www.ipdb.org/machine.cgi?gid=6439&puid=38895
AC/DC (Pro),"Stern Pinball, Incorporated",2012,4,SS,Licensed Theme - Music,https://www.ipdb.org/machine.cgi?gid=5767&puid=38895
AC/DC Back In Black (Limited Edition),"Stern Pinball, Incorporated","March, 2012",4,SS,Licensed Theme - Music,https://www.ipdb.org/machine.cgi?gid=5777&puid=38895
Acapulco,Bally Manufacturing Corporation,,1,EM,Beach - Boating - Happiness - Recreation - Swimming - Water - Women,https://www.ipdb.org/machine.cgi?gid=3&puid=38895
Acapulco,Splin S.A.,,1,SS,,https://www.ipdb.org/machine.cgi?gid=5864&puid=38895
Ace,Unknown Manufacturer,,1,ME,,https://www.ipdb.org/machine.cgi?gid=4896&puid=38895
Ace,Ace Manufacturing Company,"April, 1932",1,ME,,https://www.ipdb.org/machine.cgi?gid=4&puid=38895
Ace,Bally Manufacturing Corporation,"August, 1935",1,EM,,https://www.ipdb.org/machine.cgi?gid=5&puid=38895
Ace High,Pierce Tool and Manufacturing Company,"April, 1932",1,ME,Card Game,https://www.ipdb.org/machine.cgi?gid=6&puid=38895
Ace High,D. Gottlieb & Company,"February, 1957",1,EM,Cards/Gambling,https://www.ipdb.org/machine.cgi?gid=7&puid=38895
Ace High,D. Gottlieb & Company,"July, 1954",1,EM,,https://www.ipdb.org/machine.cgi?gid=3765&puid=38895
Ace High,Premier Technology,,4,SS,Playing Cards,https://www.ipdb.org/machine.cgi?gid=5235&puid=38895
Ace Is High,"Hercules Novelty Company, Incorporated","June, 1931",1,ME,Cards/Gambling,https://www.ipdb.org/machine.cgi?gid=8&puid=38895
Aces & Kings,"Williams Electronics, Incorporated",8-Jun-70,4,EM,Cards/Gambling,https://www.ipdb.org/machine.cgi?gid=11&puid=38895
Aces High,Bally Manufacturing Corporation,"August, 1965",4,EM,Gambling - Poker - Riverboat,https://www.ipdb.org/machine.cgi?gid=9&puid=38895
Aces High,Unknown Manufacturer,1932,1,,,https://www.ipdb.org/machine.cgi?gid=3990&puid=38895
Aces Top,Bally Manufacturing Corporation,"August, 1965",4,EM,Gambling - Poker - Riverboat,https://www.ipdb.org/machine.cgi?gid=5236&puid=38895
Acey Ducy,Auto Bell Novelty Company,"May, 1960",2,ME,Playing Cards,https://www.ipdb.org/machine.cgi?gid=2877&puid=38895
Across the Board,Rock-ola Manufacturing Corporation,"January, 1938",1,EM,,https://www.ipdb.org/machine.cgi?gid=12&puid=38895
Across the Board,"Universal Industries, Inc. (Chicago) A subsidiary of United Manufacturing Co.","December, 1951",1,EM,Sports - Horse Racing,https://www.ipdb.org/machine.cgi?gid=13&puid=38895
Action,Chicago Coin Machine Manufacturing Company,15-Sep-69,1,EM,Sports - Auto Racing,https://www.ipdb.org/machine.cgi?gid=15&puid=38895
Action,Unknown Manufacturer,"April, 1943",1,EM,,https://www.ipdb.org/machine.cgi?gid=3839&puid=38895
Action (Jr),Bally Manufacturing Corporation,"December, 1934",1,EM,,https://www.ipdb.org/machine.cgi?gid=17&puid=38895
Action (Sr),Automatic Amusements Company,"November, 1934",1,EM,,https://www.ipdb.org/machine.cgi?gid=16&puid=38895
Action (Sr),Bally Manufacturing Corporation,"December, 1934",1,EM,,https://www.ipdb.org/machine.cgi?gid=18&puid=38895
Action Baseball,"Williams Electronics, Incorporated","March, 1971",2,EM,Sports - Baseball,https://www.ipdb.org/machine.cgi?gid=14&puid=38895
Add-A-Ball,Williams Electronic Manufacturing Company,"September, 1961",1,EM,Circus/Carnival,https://www.ipdb.org/machine.cgi?gid=4362&puid=38895
Admiral,Genco Manufacturing Company,"February, 1933",1,ME,,https://www.ipdb.org/machine.cgi?gid=22&puid=38895
Advance,Automatic Amusements Company,"October, 1933",1,ME,,https://www.ipdb.org/machine.cgi?gid=2879&puid=38895
Advance Alley Roll,Genco Manufacturing Company,,1,EM,,https://www.ipdb.org/machine.cgi?gid=5644&puid=38895
Advance Baby,Advance Automatic Machine Company,1932,1,ME,,https://www.ipdb.org/machine.cgi?gid=4824&puid=38895
Advance Pool,Chicago Coin Machine Manufacturing Company,,2,EM,Billiards,https://www.ipdb.org/machine.cgi?gid=5752&puid=38895
Advance Roll,Genco Manufacturing Company,30-Dec-46,1,EM,,https://www.ipdb.org/machine.cgi?gid=2880&puid=38895
Adventure,"Sega Enterprises, Ltd.","January, 1979",2,SS,Adventure - Boats - Recreation - Sailing - Water,https://www.ipdb.org/machine.cgi?gid=5544&puid=38895
Adventures of Rocky and Bullwinkle and Friends,"Data East Pinball, Incorporated",1-Feb-93,4,SS,Cartoon,https://www.ipdb.org/machine.cgi?gid=23&puid=38895
Aerobatics,Zaccaria,"February, 1977",1,EM,,https://www.ipdb.org/machine.cgi?gid=24&puid=38895
Aerosmith (Limited Edition),"Stern Pinball, Incorporated","March, 2017",4,SS,Licensed Theme - Music ? Singing,https://www.ipdb.org/machine.cgi?gid=6372&puid=38895
Aerosmith (Premium),"Stern Pinball, Incorporated","April, 2017",4,SS,Licensed Theme - Music ? Singing,https://www.ipdb.org/machine.cgi?gid=6371&puid=38895
Aerosmith (Pro),"Stern Pinball, Incorporated","February, 2017",4,SS,Licensed Theme - Music ? Singing,https://www.ipdb.org/machine.cgi?gid=6370&puid=38895
Af-Tor,Wico Corporation,"December, 1984",4,SS,,https://www.ipdb.org/machine.cgi?gid=25&puid=38895
Africa Queen,Europlay,,1,EM,Fantasy,https://www.ipdb.org/machine.cgi?gid=5114&puid=38895
Agate Game,Dewey Coin Machine Company,,1,ME,,https://www.ipdb.org/machine.cgi?gid=5349&puid=38895
Agents 777,"Game Plan, Incorporated","November, 1984",4,SS,Cartoon - Crime,https://www.ipdb.org/machine.cgi?gid=26&puid=38895
Air Aces,Bally Manufacturing Corporation,"February, 1975",4,EM,Adventure - Aviation - Combat - Military - Warfare,https://www.ipdb.org/machine.cgi?gid=28&puid=38895
Air Circus,Exhibit Supply Company,"January, 1942",1,EM,Army - Aircraft - Aviation - Navy - Warfare,https://www.ipdb.org/machine.cgi?gid=29&puid=38895
Air Command,,,,,,https://www.ipdb.org/machine.cgi?gid=4662&puid=38895
Air Derby,Western Equipment & Supply Company,"June, 1937",1,EM,Aircraft - Airplanes - Airports - Aviation - Flying,https://www.ipdb.org/machine.cgi?gid=2881&puid=38895
Air Force,Bally Manufacturing Corporation,1941,1,EM,Aviation - Combat - Military - Historical - Wartime - Warfare - World War II,https://www.ipdb.org/machine.cgi?gid=2882&puid=38895
Air Lane,Bally Manufacturing Corporation,"June, 1936",1,EM,Aircraft - Airplanes - Airports - Aviation - Flying,https://www.ipdb.org/machine.cgi?gid=30&puid=38895
Air Races,Atlas Indicator Works Incorporated,"October, 1932",1,ME,Aviation,https://www.ipdb.org/machine.cgi?gid=31&puid=38895
Air Races,Stoner Manufacturing Company,"April, 1937",1,EM,Wartime,https://www.ipdb.org/machine.cgi?gid=32&puid=38895
Air Raid,Unknown Manufacturer,,1,EM,Combat - Military - Warfare,https://www.ipdb.org/machine.cgi?gid=4929&puid=38895
Air Raid Defense,Gotham Pressed Steel Corporation,,1,ME,Warfare,https://www.ipdb.org/machine.cgi?gid=4886&puid=38895
Airborne,J. Esteban,,4,EM,Aviation,https://www.ipdb.org/machine.cgi?gid=5133&puid=38895
Airborne,"Capcom Coin-Op, Incorporated","March, 1996",4,SS,Aviation,https://www.ipdb.org/machine.cgi?gid=3783&puid=38895
Airborne Avenger,"Atari, Incorporated","September, 1977",4,SS,Adventure - Combat,https://www.ipdb.org/machine.cgi?gid=33&puid=38895
Airliner,Exhibit Supply Company,"August, 1939",1,EM,,https://www.ipdb.org/machine.cgi?gid=34&puid=38895
Airport,D. Gottlieb & Company,"April, 1969",2,EM,Travel,https://www.ipdb.org/machine.cgi?gid=35&puid=38895
Airport,Genco Manufacturing Company,"May, 1939",1,EM,Aircraft - Airplanes - Airports - Aviation - Flying,https://www.ipdb.org/machine.cgi?gid=36&puid=38895
Airway,Bally Manufacturing Corporation,"February, 1933",1,ME,Aviation,https://www.ipdb.org/machine.cgi?gid=37&puid=38895
Airway of 1937,Bally Manufacturing Corporation,"August, 1937",1,EM,Aviation,https://www.ipdb.org/machine.cgi?gid=38&puid=38895
Airways,Lindstrom Tool and Toy Company,1934,1,ME,,https://www.ipdb.org/machine.cgi?gid=4775&puid=38895
Ak-Sar-Ben,Western Equipment & Supply Company,"November, 1937",1,EM,Sports - Horse Racing,https://www.ipdb.org/machine.cgi?gid=39&puid=38895
Al Capone,LTD do Brasil Divers?es Eletrìnicas Ltda,,4,SS,American History - Cards/Gambling,https://www.ipdb.org/machine.cgi?gid=5176&puid=38895
Al's Garage Band Goes On a World Tour,Alvin G. and Company,"December, 1992",4,SS,Music - Singing,https://www.ipdb.org/machine.cgi?gid=3513&puid=38895
Alabama Crimson Tide,,2004,4,EM,Sports - Football,https://www.ipdb.org/machine.cgi?gid=4998&puid=38895
Aladdin's Castle,Bally Manufacturing Corporation,"June, 1976",2,EM,Fantasy - Myth and Legend,https://www.ipdb.org/machine.cgi?gid=40&puid=38895
Alamo,Rock-ola Manufacturing Corporation,"May, 1936",1,EM,American Places - Historical,https://www.ipdb.org/machine.cgi?gid=41&puid=38895
Alamo,Joseph Schneider Incorporated,,1,ME,American Places - History,https://www.ipdb.org/machine.cgi?gid=4916&puid=38895
Alarm,T.H. Bergmann & Company,"July, 1958",1,EM,,https://www.ipdb.org/machine.cgi?gid=2867&puid=38895
Alaska,Interflip S. A.,"May, 1978",4,SS,American Places,https://www.ipdb.org/machine.cgi?gid=3888&puid=38895
Alaska,Recreativos Franco,,1,EM,,https://www.ipdb.org/machine.cgi?gid=4650&puid=38895
Alert,Arco Sales Co.,"December, 1942",1,EM,Military - Warfare - World War II,https://www.ipdb.org/machine.cgi?gid=3830&puid=38895
Algar,"Williams Electronics, Incorporated","September, 1980",4,SS,Fantasy,https://www.ipdb.org/machine.cgi?gid=42&puid=38895
Ali,"Stern Electronics, Incorporated","March, 1980",4,SS,Sports - Boxing - Licensed Theme,https://www.ipdb.org/machine.cgi?gid=43&puid=38895
Ali Baba,"Sega Enterprises, Ltd.",1973,2,EM,Fantasy - Myth and Legend,https://www.ipdb.org/machine.cgi?gid=44&puid=38895
Ali-Baba,D. Gottlieb & Company,"June, 1948",1,EM,Fantasy - Myth and Legend,https://www.ipdb.org/machine.cgi?gid=45&puid=38895
Ali-Baba,Stoner Manufacturing Company,"November, 1939",1,EM,Fantasy - Myth and Legend,https://www.ipdb.org/machine.cgi?gid=46&puid=38895
Alice in Wonderland,D. Gottlieb & Company,"August, 1948",1,EM,Fictional Characters,https://www.ipdb.org/machine.cgi?gid=47&puid=38895
Alien (Standard Edition),"Heighway Pinball, Ltd.","February, 2017",4,SS,Licensed Theme - Science Fiction,https://www.ipdb.org/machine.cgi?gid=6419&puid=38895
Alien Poker,"Williams Electronics, Incorporated","October, 1980",4,SS,Fantasy - Outer Space - Cards - Gambling,https://www.ipdb.org/machine.cgi?gid=48&puid=38895
Alien Space,"Atari, Incorporated",,4,SS,,https://www.ipdb.org/machine.cgi?gid=6543&puid=38895
Alien Star,"Mylstar Electronics, Incorporated","June, 1984",4,SS,Outer Space - Fantasy,https://www.ipdb.org/machine.cgi?gid=49&puid=38895
Alien Warrior,LTD do Brasil Divers?es Eletrìnicas Ltda,,4,SS,Aliens - Fantasy - Outer Space,https://www.ipdb.org/machine.cgi?gid=5882&puid=38895
Alive,Brunswick Manufacturing Company,1978,4,SS,Music,https://www.ipdb.org/machine.cgi?gid=50&puid=38895
All American,Chicago Coin Machine Manufacturing Company,18-Oct-40,1,EM,Sports - Football,https://www.ipdb.org/machine.cgi?gid=51&puid=38895
All American,Rock-ola Manufacturing Corporation,"August, 1934",1,ME,,https://www.ipdb.org/machine.cgi?gid=4200&puid=38895
All American Derby,Illinois Novelty Co.,"November, 1943",1,EM,,https://www.ipdb.org/machine.cgi?gid=5418&puid=38895
All American Football,Peo Manufacturing Corporation,"September, 1935",1,EM,Sports - Football,https://www.ipdb.org/machine.cgi?gid=4948&puid=38895
All American Odd Ball,All American Amusements,"April, 1988",1,SS,,https://www.ipdb.org/machine.cgi?gid=3682&puid=38895
All Out,Sullivan-Nolan Advertising Company [WWII Conversions Only],"April, 1943",1,EM,,https://www.ipdb.org/machine.cgi?gid=3840&puid=38895
All Star Baseball,Chicago Coin Machine Manufacturing Company,1962,2,EM,Sports - Baseball,https://www.ipdb.org/machine.cgi?gid=53&puid=38895
